# KTP (dispersive) -- principal refractive index
# source: K. Kato and E. Takaoka. Sellmeier and thermo-optic dispersion formulas for KTP. Appl. Opt. 41, 5040-5044 (2002).
# doi: 10.1364/AO.41.005040   conditions: 20 C
# validity: 0.43-3.54 um
# via refractiveindex.info database (CC0): KTiOPO4/nk/Kato-alpha.yml, KTiOPO4/nk/Kato-beta.yml, KTiOPO4/nk/Kato-gamma.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 2.9e-06
wavelength_um,nx,ny,nz
0.43,1.8102799,1.8247882,1.9382812
0.431,1.8098128,1.8242582,1.9375508
0.432,1.80935,1.8237333,1.9368275
0.433,1.8088914,1.8232134,1.9361111
0.434,1.808437,1.8226985,1.9354016
0.435,1.8079867,1.8221885,1.9346989
0.436,1.8075404,1.8216833,1.9340029
0.437,1.8070981,1.8211828,1.9333135
0.438,1.8066598,1.8206871,1.9326306
0.439,1.8062253,1.820196,1.9319541
0.44,1.8057948,1.8197094,1.9312839
0.441,1.805368,1.8192274,1.9306201
0.442,1.8049449,1.8187498,1.9299623
0.443,1.8045256,1.8182766,1.9293107
0.444,1.80411,1.8178078,1.9286651
0.445,1.8036979,1.8173432,1.9280254
0.446,1.8032895,1.8168829,1.9273916
0.447,1.8028845,1.8164267,1.9267636
0.448,1.8024831,1.8159747,1.9261412
0.449,1.8020851,1.8155267,1.9255245
0.45,1.8016905,1.8150827,1.9249134
0.451,1.8012992,1.8146427,1.9243077
0.452,1.8009113,1.8142066,1.9237074
0.453,1.8005266,1.8137744,1.9231125
0.454,1.8001452,1.8133459,1.9225229
0.455,1.799767,1.8129213,1.9219385
0.456,1.799392,1.8125003,1.9213592
0.457,1.7990201,1.8120831,1.920785
0.458,1.7986513,1.8116694,1.9202159
0.459,1.7982855,1.8112594,1.9196517
0.46,1.7979228,1.8108528,1.9190924
0.461,1.797563,1.8104498,1.9185379
0.462,1.7972062,1.8100502,1.9179882
0.463,1.7968523,1.8096541,1.9174432
0.464,1.7965013,1.8092613,1.9169029
0.465,1.7961532,1.8088718,1.9163672
0.466,1.7958078,1.8084856,1.915836
0.467,1.7954653,1.8081027,1.9153094
0.468,1.7951255,1.807723,1.9147872
0.469,1.7947884,1.8073464,1.9142693
0.47,1.794454,1.806973,1.9137558
0.471,1.7941223,1.8066027,1.9132466
0.472,1.7937932,1.8062355,1.9127416
0.473,1.7934666,1.8058712,1.9122408
0.474,1.7931427,1.80551,1.9117441
0.475,1.7928213,1.8051517,1.9112516
0.476,1.7925025,1.8047964,1.910763
0.477,1.7921861,1.8044439,1.9102785
0.478,1.7918722,1.8040943,1.9097978
0.479,1.7915607,1.8037475,1.9093211
0.48,1.7912516,1.8034035,1.9088483
0.481,1.7909449,1.8030622,1.9083792
0.482,1.7906405,1.8027237,1.907914
0.483,1.7903385,1.8023878,1.9074524
0.484,1.7900388,1.8020547,1.9069945
0.485,1.7897414,1.8017241,1.9065403
0.486,1.7894462,1.8013962,1.9060897
0.487,1.7891533,1.8010709,1.9056426
0.488,1.7888625,1.8007481,1.905199
0.489,1.788574,1.8004278,1.9047589
0.49,1.7882876,1.80011,1.9043223
0.491,1.7880033,1.7997947,1.9038891
0.492,1.7877212,1.7994818,1.9034592
0.493,1.7874411,1.7991713,1.9030327
0.494,1.7871632,1.7988632,1.9026094
0.495,1.7868872,1.7985575,1.9021894
0.496,1.7866133,1.798254,1.9017727
0.497,1.7863415,1.7979529,1.9013591
0.498,1.7860716,1.7976541,1.9009486
0.499,1.7858036,1.7973576,1.9005413
0.5,1.7855376,1.7970632,1.9001371
0.501,1.7852736,1.7967711,1.8997359
0.502,1.7850114,1.7964812,1.8993377
0.503,1.7847511,1.7961934,1.8989425
0.504,1.7844927,1.7959078,1.8985503
0.505,1.7842362,1.7956243,1.898161
0.506,1.7839815,1.7953429,1.8977746
0.507,1.7837285,1.7950635,1.897391
0.508,1.7834774,1.7947862,1.8970103
0.509,1.7832281,1.794511,1.8966324
0.51,1.7829805,1.7942377,1.8962572
0.511,1.7827347,1.7939665,1.8958848
0.512,1.7824906,1.7936972,1.8955151
0.513,1.7822481,1.7934298,1.8951481
0.514,1.7820074,1.7931644,1.8947837
0.515,1.7817684,1.7929009,1.894422
0.516,1.781531,1.7926393,1.8940629
0.517,1.7812952,1.7923795,1.8937064
0.518,1.7810611,1.7921216,1.8933524
0.519,1.7808286,1.7918655,1.8930009
0.52,1.7805977,1.7916113,1.892652
0.521,1.7803683,1.7913588,1.8923055
0.522,1.7801405,1.7911081,1.8919615
0.523,1.7799143,1.7908592,1.8916199
0.524,1.7796896,1.790612,1.8912807
0.525,1.7794664,1.7903666,1.8909438
0.526,1.7792447,1.7901228,1.8906094
0.527,1.7790245,1.7898808,1.8902772
0.528,1.7788058,1.7896404,1.8899474
0.529,1.7785886,1.7894016,1.8896199
0.53,1.7783728,1.7891646,1.8892946
0.531,1.7781584,1.7889291,1.8889715
0.532,1.7779454,1.7886952,1.8886507
0.533,1.7777339,1.788463,1.8883321
0.534,1.7775237,1.7882323,1.8880156
0.535,1.777315,1.7880032,1.8877013
0.536,1.7771076,1.7877756,1.8873892
0.537,1.7769015,1.7875496,1.8870791
0.538,1.7766968,1.7873251,1.8867712
0.539,1.7764934,1.787102,1.8864653
0.54,1.7762914,1.7868805,1.8861614
0.541,1.7760906,1.7866605,1.8858596
0.542,1.7758912,1.7864419,1.8855599
0.543,1.775693,1.7862248,1.8852621
0.544,1.7754961,1.786009,1.8849663
0.545,1.7753005,1.7857948,1.8846724
0.546,1.7751061,1.7855819,1.8843805
0.547,1.7749129,1.7853704,1.8840905
0.548,1.774721,1.7851603,1.8838024
0.549,1.7745303,1.7849516,1.8835162
0.55,1.7743407,1.7847442,1.8832318
0.551,1.7741524,1.7845382,1.8829493
0.552,1.7739653,1.7843335,1.8826687
0.553,1.7737793,1.7841301,1.8823898
0.554,1.7735945,1.783928,1.8821128
0.555,1.7734109,1.7837272,1.8818376
0.556,1.7732284,1.7835277,1.8815641
0.557,1.773047,1.7833295,1.8812923
0.558,1.7728667,1.7831326,1.8810223
0.559,1.7726876,1.7829368,1.880754
0.56,1.7725095,1.7827424,1.8804874
0.561,1.7723326,1.7825491,1.8802226
0.562,1.7721567,1.7823571,1.8799593
0.563,1.7719819,1.7821662,1.8796978
0.564,1.7718082,1.7819766,1.8794378
0.565,1.7716355,1.7817881,1.8791796
0.566,1.7714639,1.7816008,1.8789229
0.567,1.7712933,1.7814147,1.8786678
0.568,1.7711237,1.7812297,1.8784143
0.569,1.7709552,1.7810459,1.8781624
0.57,1.7707876,1.7808632,1.877912
0.571,1.7706211,1.7806816,1.8776632
0.572,1.7704555,1.7805012,1.8774159
0.573,1.770291,1.7803218,1.8771701
0.574,1.7701274,1.7801435,1.8769259
0.575,1.7699648,1.7799663,1.8766831
0.576,1.7698031,1.7797902,1.8764418
0.577,1.7696424,1.7796152,1.8762019
0.578,1.7694827,1.7794412,1.8759635
0.579,1.7693239,1.7792682,1.8757266
0.58,1.769166,1.7790963,1.8754911
0.581,1.769009,1.7789254,1.875257
0.582,1.7688529,1.7787555,1.8750243
0.583,1.7686978,1.7785867,1.8747929
0.584,1.7685435,1.7784188,1.874563
0.585,1.7683902,1.778252,1.8743344
0.586,1.7682377,1.7780861,1.8741072
0.587,1.7680861,1.7779212,1.8738814
0.588,1.7679354,1.7777572,1.8736568
0.589,1.7677855,1.7775943,1.8734336
0.59,1.7676365,1.7774323,1.8732117
0.591,1.7674883,1.7772712,1.8729911
0.592,1.767341,1.777111,1.8727718
0.593,1.7671945,1.7769518,1.8725538
0.594,1.7670488,1.7767935,1.872337
0.595,1.766904,1.7766362,1.8721215
0.596,1.76676,1.7764797,1.8719072
0.597,1.7666167,1.7763241,1.8716942
0.598,1.7664743,1.7761694,1.8714824
0.599,1.7663327,1.7760156,1.8712718
0.6,1.7661919,1.7758627,1.8710624
0.602,1.7659125,1.7755595,1.8706472
0.604,1.7656363,1.7752597,1.8702367
0.606,1.7653631,1.7749632,1.8698308
0.608,1.7650928,1.7746701,1.8694295
0.61,1.7648255,1.7743802,1.8690327
0.612,1.7645611,1.7740935,1.8686403
0.614,1.7642996,1.77381,1.8682522
0.616,1.7640408,1.7735295,1.8678684
0.618,1.7637848,1.7732522,1.8674888
0.62,1.7635316,1.7729778,1.8671133
0.622,1.763281,1.7727064,1.8667419
0.624,1.763033,1.7724379,1.8663745
0.626,1.7627877,1.7721723,1.8660111
0.628,1.7625449,1.7719096,1.8656516
0.63,1.7623046,1.7716496,1.8652958
0.632,1.7620668,1.7713923,1.8649439
0.634,1.7618315,1.7711378,1.8645956
0.636,1.7615985,1.7708859,1.864251
0.638,1.761368,1.7706366,1.86391
0.64,1.7611398,1.7703899,1.8635726
0.642,1.7609139,1.7701457,1.8632386
0.644,1.7606902,1.769904,1.8629081
0.646,1.7604688,1.7696649,1.862581
0.648,1.7602496,1.7694281,1.8622572
0.65,1.7600326,1.7691937,1.8619367
0.652,1.7598177,1.7689617,1.8616194
0.654,1.759605,1.768732,1.8613054
0.656,1.7593943,1.7685046,1.8609944
0.658,1.7591857,1.7682795,1.8606866
0.66,1.7589791,1.7680565,1.8603819
0.662,1.7587745,1.7678358,1.8600801
0.664,1.7585718,1.7676172,1.8597813
0.666,1.7583711,1.7674008,1.8594855
0.668,1.7581724,1.7671865,1.8591925
0.67,1.7579755,1.7669742,1.8589024
0.672,1.7577805,1.766764,1.8586151
0.674,1.7575873,1.7665557,1.8583305
0.676,1.7573959,1.7663495,1.8580487
0.678,1.7572063,1.7661452,1.8577695
0.68,1.7570185,1.7659429,1.857493
0.682,1.7568324,1.7657424,1.8572191
0.684,1.756648,1.7655439,1.8569478
0.686,1.7564653,1.7653471,1.8566791
0.688,1.7562843,1.7651522,1.8564128
0.69,1.7561049,1.7649591,1.856149
0.692,1.7559272,1.7647678,1.8558877
0.694,1.7557511,1.7645782,1.8556288
0.696,1.7555765,1.7643904,1.8553722
0.698,1.7554035,1.7642043,1.855118
0.7,1.7552321,1.7640198,1.8548661
0.702,1.7550621,1.763837,1.8546164
0.704,1.7548937,1.7636558,1.854369
0.706,1.7547267,1.7634763,1.8541239
0.708,1.7545613,1.7632983,1.8538809
0.71,1.7543972,1.7631219,1.8536401
0.712,1.7542346,1.7629471,1.8534014
0.714,1.7540734,1.7627738,1.8531648
0.716,1.7539135,1.762602,1.8529303
0.718,1.7537551,1.7624317,1.8526979
0.72,1.753598,1.7622629,1.8524674
0.722,1.7534422,1.7620955,1.852239
0.724,1.7532878,1.7619296,1.8520125
0.726,1.7531346,1.7617651,1.851788
0.728,1.7529828,1.7616019,1.8515654
0.73,1.7528322,1.7614402,1.8513447
0.732,1.7526828,1.7612798,1.8511259
0.734,1.7525347,1.7611208,1.8509089
0.736,1.7523879,1.7609631,1.8506938
0.738,1.7522422,1.7608067,1.8504804
0.74,1.7520977,1.7606516,1.8502688
0.742,1.7519544,1.7604978,1.850059
0.744,1.7518123,1.7603452,1.8498509
0.746,1.7516713,1.7601939,1.8496446
0.748,1.7515315,1.7600438,1.8494399
0.75,1.7513928,1.759895,1.8492369
0.752,1.7512552,1.7597473,1.8490355
0.754,1.7511186,1.7596008,1.8488358
0.756,1.7509832,1.7594555,1.8486377
0.758,1.7508488,1.7593114,1.8484412
0.76,1.7507155,1.7591684,1.8482463
0.762,1.7505833,1.7590265,1.8480529
0.764,1.750452,1.7588858,1.847861
0.766,1.7503218,1.7587461,1.8476706
0.768,1.7501926,1.7586076,1.8474818
0.77,1.7500644,1.7584701,1.8472944
0.772,1.7499372,1.7583337,1.8471085
0.774,1.7498109,1.7581983,1.846924
0.776,1.7496856,1.758064,1.846741
0.778,1.7495613,1.7579307,1.8465594
0.78,1.7494378,1.7577984,1.8463791
0.782,1.7493154,1.7576671,1.8462003
0.784,1.7491938,1.7575368,1.8460228
0.786,1.7490731,1.7574075,1.8458466
0.788,1.7489534,1.7572791,1.8456718
0.79,1.7488345,1.7571517,1.8454983
0.792,1.7487165,1.7570252,1.8453261
0.794,1.7485994,1.7568997,1.8451551
0.796,1.7484831,1.7567751,1.8449855
0.798,1.7483676,1.7566514,1.8448171
0.8,1.748253,1.7565287,1.8446499
0.802,1.7481393,1.7564068,1.844484
0.804,1.7480263,1.7562858,1.8443192
0.806,1.7479141,1.7561656,1.8441557
0.808,1.7478028,1.7560463,1.8439933
0.81,1.7476922,1.7559279,1.8438322
0.812,1.7475825,1.7558103,1.8436721
0.814,1.7474734,1.7556936,1.8435132
0.816,1.7473652,1.7555776,1.8433555
0.818,1.7472577,1.7554625,1.8431989
0.82,1.747151,1.7553482,1.8430433
0.822,1.747045,1.7552347,1.8428889
0.824,1.7469397,1.7551219,1.8427355
0.826,1.7468352,1.75501,1.8425833
0.828,1.7467313,1.7548988,1.842432
0.83,1.7466282,1.7547884,1.8422819
0.832,1.7465258,1.7546787,1.8421327
0.834,1.746424,1.7545698,1.8419846
0.836,1.746323,1.7544616,1.8418375
0.838,1.7462226,1.7543541,1.8416914
0.84,1.7461229,1.7542474,1.8415462
0.842,1.7460239,1.7541413,1.8414021
0.844,1.7459255,1.754036,1.8412589
0.846,1.7458278,1.7539314,1.8411167
0.848,1.7457307,1.7538274,1.8409754
0.85,1.7456342,1.7537242,1.8408351
0.852,1.7455384,1.7536216,1.8406957
0.854,1.7454432,1.7535196,1.8405572
0.856,1.7453486,1.7534184,1.8404196
0.858,1.7452546,1.7533178,1.8402829
0.86,1.7451612,1.7532178,1.8401471
0.862,1.7450684,1.7531185,1.8400122
0.864,1.7449762,1.7530198,1.8398782
0.866,1.7448846,1.7529217,1.839745
0.868,1.7447935,1.7528243,1.8396127
0.87,1.7447031,1.7527274,1.8394812
0.872,1.7446132,1.7526312,1.8393505
0.874,1.7445238,1.7525355,1.8392207
0.876,1.744435,1.7524405,1.8390917
0.878,1.7443468,1.752346,1.8389634
0.88,1.7442591,1.7522522,1.838836
0.882,1.7441719,1.7521589,1.8387094
0.884,1.7440853,1.7520661,1.8385836
0.886,1.7439992,1.751974,1.8384585
0.888,1.7439136,1.7518824,1.8383342
0.89,1.7438285,1.7517913,1.8382107
0.892,1.7437439,1.7517008,1.8380879
0.894,1.7436599,1.7516108,1.8379658
0.896,1.7435763,1.7515213,1.8378445
0.898,1.7434932,1.7514324,1.8377239
0.9,1.7434107,1.751344,1.8376041
0.902,1.7433286,1.7512562,1.8374849
0.904,1.743247,1.7511688,1.8373665
0.906,1.7431658,1.7510819,1.8372487
0.908,1.7430851,1.7509956,1.8371317
0.91,1.7430049,1.7509097,1.8370153
0.912,1.7429252,1.7508244,1.8368996
0.914,1.7428459,1.7507395,1.8367846
0.916,1.7427671,1.7506551,1.8366702
0.918,1.7426887,1.7505712,1.8365565
0.92,1.7426107,1.7504877,1.8364435
0.922,1.7425332,1.7504048,1.8363311
0.924,1.7424561,1.7503223,1.8362193
0.926,1.7423795,1.7502402,1.8361082
0.928,1.7423033,1.7501586,1.8359977
0.93,1.7422275,1.7500774,1.8358878
0.932,1.7421521,1.7499967,1.8357785
0.934,1.7420771,1.7499165,1.8356699
0.936,1.7420025,1.7498366,1.8355618
0.938,1.7419284,1.7497572,1.8354543
0.94,1.7418546,1.7496783,1.8353474
0.942,1.7417813,1.7495997,1.8352411
0.944,1.7417083,1.7495216,1.8351354
0.946,1.7416357,1.7494439,1.8350303
0.948,1.7415635,1.7493666,1.8349257
0.95,1.7414917,1.7492897,1.8348217
0.952,1.7414203,1.7492132,1.8347182
0.954,1.7413492,1.7491371,1.8346153
0.956,1.7412785,1.7490614,1.834513
0.958,1.7412082,1.7489861,1.8344111
0.96,1.7411383,1.7489112,1.8343098
0.962,1.7410687,1.7488366,1.8342091
0.964,1.7409994,1.7487625,1.8341089
0.966,1.7409306,1.7486887,1.8340091
0.968,1.740862,1.7486153,1.8339099
0.97,1.7407938,1.7485422,1.8338113
0.972,1.740726,1.7484696,1.8337131
0.974,1.7406585,1.7483973,1.8336154
0.976,1.7405913,1.7483253,1.8335182
0.978,1.7405245,1.7482537,1.8334215
0.98,1.740458,1.7481825,1.8333253
0.982,1.7403918,1.7481116,1.8332296
0.984,1.740326,1.748041,1.8331343
0.986,1.7402604,1.7479708,1.8330395
0.988,1.7401952,1.7479009,1.8329452
0.99,1.7401303,1.7478314,1.8328514
0.992,1.7400657,1.7477622,1.832758
0.994,1.7400015,1.7476933,1.832665
0.996,1.7399375,1.7476248,1.8325726
0.998,1.7398738,1.7475566,1.8324805
1,1.7398105,1.7474887,1.8323889
1.002,1.7397474,1.7474211,1.8322978
1.004,1.7396847,1.7473538,1.8322071
1.006,1.7396222,1.7472868,1.8321168
1.008,1.73956,1.7472202,1.8320269
1.01,1.7394981,1.7471538,1.8319375
