# LiB3O5 / LBO (dispersive) -- principal refractive index
# source: C. Chen, Y. Wu, A. Jiang, B. Wu, G. You, R. Li, S. Lin. New nonlinear-optical crystal: LiB3O5. J. Opt. Soc. Am. B 6, 616-621 (1989); dispersion formula from F. Hanson and D. Dick, Opt. Lett. 16, 205-207 (1991).
# doi: 10.1364/JOSAB.6.000616   conditions: room temperature
# validity: 0.2894-1.064 um
# via refractiveindex.info database (CC0): LiB3O5/nk/Chen-alpha.yml, LiB3O5/nk/Chen-beta.yml, LiB3O5/nk/Chen-gamma.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 1.1e-06
wavelength_um,nx,ny,nz
0.2894,1.6211141,1.647706,1.6696814
0.2904,1.620585,1.6473332,1.6691146
0.2914,1.6200642,1.6469639,1.6685561
0.2924,1.6195518,1.6465979,1.6680055
0.2934,1.6190474,1.6462352,1.6674629
0.2944,1.6185509,1.6458757,1.666928
0.2954,1.6180621,1.6455195,1.6664006
0.2964,1.6175808,1.6451665,1.6658807
0.2974,1.6171069,1.6448167,1.665368
0.2984,1.6166402,1.6444699,1.6648624
0.2994,1.6161805,1.6441263,1.6643638
0.3004,1.6157277,1.6437857,1.663872
0.3014,1.6152817,1.6434481,1.663387
0.3024,1.6148423,1.6431135,1.6629085
0.3034,1.6144094,1.6427818,1.6624365
0.3044,1.6139828,1.642453,1.6619708
0.3054,1.6135624,1.6421272,1.6615113
0.3064,1.613148,1.6418041,1.6610579
0.3074,1.6127396,1.6414839,1.6606104
0.3084,1.612337,1.6411664,1.6601689
0.3094,1.6119401,1.6408517,1.6597331
0.3104,1.6115489,1.6405398,1.6593029
0.3114,1.611163,1.6402305,1.6588783
0.3124,1.6107826,1.6399238,1.6584591
0.3134,1.6104074,1.6396198,1.6580453
0.3144,1.6100373,1.6393184,1.6576367
0.3154,1.6096724,1.6390196,1.6572332
0.3164,1.6093123,1.6387233,1.6568349
0.3174,1.6089571,1.6384295,1.6564414
0.3184,1.6086067,1.6381382,1.6560529
0.3194,1.608261,1.6378493,1.6556692
0.3204,1.6079199,1.6375629,1.6552902
0.3214,1.6075832,1.6372789,1.6549158
0.3224,1.607251,1.6369972,1.654546
0.3234,1.606923,1.6367179,1.6541806
0.3244,1.6065994,1.636441,1.6538197
0.3254,1.6062799,1.6361663,1.653463
0.3264,1.6059645,1.6358939,1.6531106
0.3274,1.6056531,1.6356237,1.6527624
0.3284,1.6053457,1.6353558,1.6524183
0.3294,1.6050421,1.6350901,1.6520782
0.3304,1.6047424,1.6348265,1.6517421
0.3314,1.6044464,1.6345651,1.65141
0.3324,1.604154,1.6343059,1.6510816
0.3334,1.6038653,1.6340487,1.650757
0.3344,1.6035801,1.6337937,1.6504362
0.3354,1.6032984,1.6335407,1.6501189
0.3364,1.6030201,1.6332897,1.6498053
0.3374,1.6027452,1.6330408,1.6494953
0.3384,1.6024735,1.6327938,1.6491887
0.3394,1.6022051,1.6325488,1.6488855
0.3404,1.6019399,1.6323058,1.6485857
0.3414,1.6016779,1.6320647,1.6482892
0.3424,1.6014189,1.6318256,1.647996
0.3434,1.6011629,1.6315883,1.6477061
0.3444,1.60091,1.6313529,1.6474192
0.3454,1.6006599,1.6311194,1.6471355
0.3464,1.6004128,1.6308877,1.6468549
0.3474,1.6001685,1.6306578,1.6465773
0.3484,1.5999269,1.6304297,1.6463026
0.3494,1.5996881,1.6302034,1.6460309
0.3504,1.599452,1.6299789,1.6457621
0.3514,1.5992186,1.6297561,1.6454961
0.3524,1.5989878,1.629535,1.645233
0.3534,1.5987595,1.6293157,1.6449725
0.3544,1.5985338,1.629098,1.6447148
0.3554,1.5983106,1.628882,1.6444598
0.3564,1.5980898,1.6286677,1.6442074
0.3574,1.5978714,1.628455,1.6439576
0.3584,1.5976554,1.6282439,1.6437104
0.3594,1.5974418,1.6280344,1.6434657
0.3604,1.5972304,1.6278265,1.6432235
0.3614,1.5970213,1.6276202,1.6429837
0.3624,1.5968144,1.6274155,1.6427464
0.3634,1.5966098,1.6272123,1.6425114
0.3644,1.5964073,1.6270106,1.6422788
0.3654,1.5962069,1.6268104,1.6420485
0.3664,1.5960086,1.6266118,1.6418204
0.3674,1.5958124,1.6264146,1.6415947
0.3684,1.5956182,1.6262189,1.6413711
0.3694,1.5954261,1.6260246,1.6411497
0.3704,1.5952359,1.6258318,1.6409305
0.3714,1.5950476,1.6256404,1.6407134
0.3724,1.5948613,1.6254504,1.6404984
0.3734,1.5946769,1.6252618,1.6402855
0.3744,1.5944943,1.6250746,1.6400746
0.3754,1.5943136,1.6248888,1.6398658
0.3764,1.5941347,1.6247043,1.6396589
0.3774,1.5939575,1.6245211,1.639454
0.3784,1.5937821,1.6243393,1.639251
0.3794,1.5936085,1.6241588,1.6390499
0.3804,1.5934365,1.6239797,1.6388507
0.3814,1.5932663,1.6238018,1.6386533
0.3824,1.5930977,1.6236252,1.6384578
0.3834,1.5929307,1.6234498,1.6382641
0.3844,1.5927654,1.6232757,1.6380721
0.3854,1.5926016,1.6231029,1.6378819
0.3864,1.5924394,1.6229313,1.6376935
0.3874,1.5922788,1.6227609,1.6375068
0.3884,1.5921197,1.6225917,1.6373217
0.3894,1.5919621,1.6224237,1.6371384
0.3904,1.591806,1.6222569,1.6369567
0.3914,1.5916513,1.6220913,1.6367766
0.3924,1.5914981,1.6219268,1.6365981
0.3934,1.5913464,1.6217635,1.6364212
0.3944,1.591196,1.6216013,1.6362459
0.3954,1.591047,1.6214403,1.6360721
0.3964,1.5908994,1.6212804,1.6358998
0.3974,1.5907532,1.6211215,1.6357291
0.3984,1.5906082,1.6209638,1.6355598
0.3994,1.5904646,1.6208072,1.635392
0.4004,1.5903223,1.6206517,1.6352256
0.4014,1.5901813,1.6204972,1.6350607
0.4024,1.5900415,1.6203438,1.6348972
0.4034,1.589903,1.6201914,1.6347351
0.4044,1.5897657,1.6200401,1.6345744
0.4054,1.5896297,1.6198898,1.6344151
0.4064,1.5894948,1.6197405,1.6342571
0.4074,1.5893612,1.6195923,1.6341004
0.4084,1.5892287,1.619445,1.633945
0.4094,1.5890973,1.6192987,1.633791
0.4104,1.5889671,1.6191535,1.6336382
0.4114,1.588838,1.6190092,1.6334867
0.4124,1.5887101,1.6188658,1.6333364
0.4134,1.5885832,1.6187235,1.6331874
0.4144,1.5884574,1.618582,1.6330396
0.4154,1.5883327,1.6184415,1.632893
0.4164,1.5882091,1.618302,1.6327476
0.4174,1.5880865,1.6181633,1.6326034
0.4184,1.5879649,1.6180256,1.6324604
0.4194,1.5878444,1.6178888,1.6323185
