# LiNbO3 (dispersive) -- principal refractive index
# source: D. E. Zelmon, D. L. Small, D. Jundt. Infrared corrected Sellmeier coefficients for congruently grown lithium niobate and 5 mol.% magnesium oxide-doped lithium niobate. J. Opt. Soc. Am. B 14, 3319-3322 (1997).
# doi: 10.1364/JOSAB.14.003319   conditions: congruently grown LiNbO3, 21 C
# validity: 0.4-5 um
# via refractiveindex.info database (CC0): LiNbO3/nk/Zelmon-o.yml, LiNbO3/nk/Zelmon-e.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 2.2e-06
wavelength_um,no,ne
0.4,2.4392711,2.3321198
0.401,2.4377224,2.3308032
0.402,2.4361915,2.3295017
0.403,2.4346779,2.3282153
0.404,2.4331814,2.3269436
0.405,2.4317017,2.3256863
0.406,2.4302386,2.3244433
0.407,2.4287917,2.3232142
0.408,2.4273608,2.3219989
0.409,2.4259457,2.320797
0.41,2.424546,2.3196085
0.411,2.4231615,2.318433
0.412,2.421792,2.3172703
0.413,2.4204373,2.3161202
0.414,2.4190971,2.3149826
0.415,2.4177711,2.3138572
0.416,2.4164593,2.3127438
0.417,2.4151612,2.3116423
0.418,2.4138768,2.3105524
0.419,2.4126059,2.3094739
0.42,2.4113481,2.3084067
0.421,2.4101033,2.3073507
0.422,2.4088714,2.3063055
0.423,2.4076521,2.3052711
0.424,2.4064452,2.3042473
0.425,2.4052505,2.303234
0.426,2.404068,2.3022309
0.427,2.4028973,2.3012379
0.428,2.4017383,2.3002549
0.429,2.4005908,2.2992817
0.43,2.3994548,2.2983182
0.431,2.3983299,2.2973642
0.432,2.3972161,2.2964197
0.433,2.3961132,2.2954843
0.434,2.395021,2.2945581
0.435,2.3939394,2.2936409
0.436,2.3928683,2.2927325
0.437,2.3918074,2.2918328
0.438,2.3907566,2.2909418
0.439,2.3897159,2.2900592
0.44,2.388685,2.289185
0.441,2.3876639,2.2883191
0.442,2.3866523,2.2874613
0.443,2.3856502,2.2866115
0.444,2.3846575,2.2857696
0.445,2.3836739,2.2849355
0.446,2.3826995,2.2841091
0.447,2.381734,2.2832903
0.448,2.3807773,2.282479
0.449,2.3798294,2.2816751
0.45,2.37889,2.2808784
0.451,2.3779592,2.280089
0.452,2.3770368,2.2793066
0.453,2.3761226,2.2785313
0.454,2.3752166,2.2777628
0.455,2.3743186,2.2770012
0.456,2.3734287,2.2762463
0.457,2.3725465,2.2754981
0.458,2.3716722,2.2747564
0.459,2.3708054,2.2740211
0.46,2.3699463,2.2732923
0.461,2.3690946,2.2725698
0.462,2.3682503,2.2718535
0.463,2.3674132,2.2711433
0.464,2.3665834,2.2704393
0.465,2.3657606,2.2697412
0.466,2.3649449,2.2690491
0.467,2.3641361,2.2683628
0.468,2.3633341,2.2676822
0.469,2.3625389,2.2670074
0.47,2.3617504,2.2663382
0.471,2.3609684,2.2656746
0.472,2.360193,2.2650165
0.473,2.359424,2.2643638
0.474,2.3586613,2.2637165
0.475,2.357905,2.2630745
0.476,2.3571548,2.2624378
0.477,2.3564108,2.2618062
0.478,2.3556729,2.2611797
0.479,2.3549409,2.2605583
0.48,2.3542149,2.2599419
0.481,2.3534947,2.2593304
0.482,2.3527803,2.2587238
0.483,2.3520716,2.2581221
0.484,2.3513686,2.2575251
0.485,2.3506712,2.2569328
0.486,2.3499792,2.2563452
0.487,2.3492928,2.2557622
0.488,2.3486117,2.2551837
0.489,2.347936,2.2546097
0.49,2.3472656,2.2540402
0.491,2.3466003,2.2534751
0.492,2.3459403,2.2529144
0.493,2.3452853,2.252358
0.494,2.3446354,2.2518058
0.495,2.3439905,2.2512578
0.496,2.3433505,2.250714
0.497,2.3427154,2.2501743
0.498,2.3420851,2.2496387
0.499,2.3414596,2.2491071
0.5,2.3408388,2.2485795
0.501,2.3402227,2.2480558
0.502,2.3396112,2.2475361
0.503,2.3390043,2.2470202
0.504,2.3384019,2.2465081
0.505,2.337804,2.2459998
0.506,2.3372105,2.2454952
0.507,2.3366213,2.2449943
0.508,2.3360366,2.2444971
0.509,2.3354561,2.2440034
0.51,2.3348798,2.2435134
0.511,2.3343078,2.2430269
0.512,2.3337399,2.2425439
0.513,2.3331761,2.2420644
0.514,2.3326163,2.2415883
0.515,2.3320606,2.2411156
0.516,2.3315089,2.2406463
0.517,2.3309612,2.2401803
0.518,2.3304173,2.2397176
0.519,2.3298773,2.2392582
0.52,2.3293411,2.238802
0.521,2.3288087,2.2383489
0.522,2.3282801,2.2378991
0.523,2.3277551,2.2374524
0.524,2.3272339,2.2370087
0.525,2.3267162,2.2365682
0.526,2.3262022,2.2361306
0.527,2.3256918,2.2356961
0.528,2.3251848,2.2352646
0.529,2.3246814,2.234836
0.53,2.3241814,2.2344104
0.531,2.3236848,2.2339876
0.532,2.3231917,2.2335677
0.533,2.3227018,2.2331506
0.534,2.3222154,2.2327363
0.535,2.3217322,2.2323248
0.536,2.3212522,2.2319161
0.537,2.3207755,2.2315101
0.538,2.320302,2.2311068
0.539,2.3198317,2.2307061
