# TaAs (dispersive) -- principal refractive index and extinction coefficient
# source: R. Zu, M. Gu, L. Min, C. Hu, N. Ni, Z. Mao, J. M. Rondinelli, V. Gopalan. Comprehensive anisotropic linear optical properties of the Weyl semimetals TaAs and NbAs. Phys. Rev. B 103, 165137 (2021).
# doi: 10.1103/PhysRevB.103.165137   conditions: spectroscopic ellipsometry, room temperature, Lorentz model of Eq. 1
# validity: 0.2066-1.0332 um (the measured window, 1.2-6 eV)
# Lorentz-oscillator model of Eq. 1 with the INFRARED POLE TAKEN NEGATIVE -- the printed plus disagrees with the paper's own Fig. 1 and with the exported case-study registry; see benchmarks/generate_dispersion_tables.py
# generated by benchmarks/generate_dispersion_tables.py
wavelength_um,no,ne,ko,ke
0.2066,1.8374403,1.8466317,2.2566689,2.2743258
0.2076,1.8456985,1.8583415,2.2609022,2.2736462
0.2086,1.8546061,1.8697625,2.2651447,2.2728675
0.2096,1.8641246,1.8808941,2.2692636,2.2720061
0.2106,1.8741893,1.8917367,2.2731392,2.2710775
0.2116,1.8847071,1.9022914,2.2766734,2.2700967
0.2126,1.8955441,1.9125604,2.2798147,2.2690781
0.2136,1.9063683,1.9225466,2.2827542,2.2680356
0.2146,1.9195414,1.9322532,2.2824878,2.2669825
0.2156,1.9298632,1.9416845,2.2850523,2.2659315
0.2166,1.9408928,1.9508451,2.2860778,2.2648951
0.2176,1.951757,1.95974,2.286516,2.263885
0.2186,1.962303,1.968375,2.2865035,2.2629127
0.2196,1.9724409,1.9767559,2.286145,2.261989
0.2206,1.9821141,1.9848892,2.2855457,2.2611243
0.2216,1.991294,1.9927816,2.284813,2.2603288
0.2226,1.9999775,2.0004402,2.2840511,2.2596118
0.2236,2.0081843,2.0078723,2.2833573,2.2589825
0.2246,2.015953,2.0150855,2.282817,2.2584495
0.2256,2.0233371,2.0220877,2.2825015,2.258021
0.2266,2.0304002,2.0288868,2.2824659,2.2577049
0.2276,2.037212,2.035491,2.2827485,2.2575084
